parameter,address,access
Operator.PROG.MAXS,211,0
Config.PROG.ptyp,517,0
Config.PROG.HbAc,559,0
Config.PROG.pwrf,518,0
Config.PROG.Srvo,520,0
Config.PROG.out,558,0
Config.PROG.SYNC,557,0
Config.LA.id,12352,0
Config.LA.Func,12355,0
Config.LB.id,12416,0
Config.LB.Func,12419,0
Config.AA.id,12480,0
Config.AA.Func,12483,0
Config.AA.SEnS,12489,0
Config.HA.FX,220,0
Config.HA.id,12544,0
Config.HA.Func,12547,0
Config.HA.bAud,12548,0
Config.HA.VALL,12559,0
Config.HA.VALH,12558,0
Config.HA.Prty,12549,0
Config.HA.rES,12550,0
Config.HA.dELy,523,0
Config.JA.id,12608,0
Config.JA.Func,12611,0
Config.JA.VALL,12623,0
Config.JA.VALH,12622,0
Config.1A.id,12672,0
Config.1A.Func,12675,0
Config.1A.VALL,12687,0
Config.1A.VALH,12686,0
Config.1A.unit,12684,0
Config.1A.OutL,12689,0
Config.1A.OutH,12688,0
Config.1A.SEnS,12681,0
Config.1B.id,12673,0
Config.1B.Func,12676,0
Config.1B.SEnS,12682,0
Config.1C.id,12674,0
Config.1C.Func,12677,0
Config.1C.VALL,12699,0
Config.1C.VALH,12698,0
Config.1C.OutL,12701,0
Config.1C.OutH,12700,0
Config.1C.SEnS,12683,0
Config.2A.id,12736,0
Config.2A.Func,12739,0
Config.2A.DVALL,12751,0
Config.2A.PVALL,12763,0
Config.2A.DVALH,12750,0
Config.2A.PVALH,12762,0
Config.2A.unit,12748,0
Config.2A.OutL,12753,0
Config.2A.OutH,12752,0
Config.2A.SEnS,12745,0
Config.2B.id,12737,0
Config.2B.Func,12740,0
Config.2B.SEnS,12746,0
Config.2C.id,12738,0
Config.2C.Func,12741,0
Config.2C.SEnS,12747,0
Config.3A.id,12800,0
Config.3A.Func,12803,0
Config.3A.inPt,12830,0
Config.3A.CJC,12831,0
Config.3A.imP,12813,0
Config.3A.inPL,12819,0
Config.3A.inPH,12818,0
Config.3A.IVALL,12829,0
Config.3A.IVALH,12828,0
Config.3A.DVALL,12815,0
Config.3A.PVALL,12827,0
Config.3A.DVALH,12814,0
Config.3A.PVALH,12826,0
Config.3A.unit,12812,0
Config.3A.OutL,12817,0
Config.3A.OutH,12816,0
Config.3A.SEnS,12809,0
Config.3B.id,12801,0
Config.3B.Func,12804,0
Config.3B.SEnS,12810,0
Config.3C.id,12802,0
Config.3C.Func,12805,0
Config.3C.SEnS,12811,0
Config.4A.id,12864,0
Config.4A.Func,12867,0
Config.4A.VALL,12879,0
Config.4A.VALH,12878,0
Config.4A.OutL,12881,0
Config.4A.OutH,12880,0
Config.4A.SEnS,12873,0
Config.CUST.CUSt,497,0
Config.CUST.in_1,601,0
Config.CUST.VAL1,621,0
Config.CUST.in_2,602,0
Config.CUST.VAL2,622,0
Config.CUST.in_3,603,0
Config.CUST.VAL3,623,0
Config.CUST.in_4,604,0
Config.CUST.VAL4,624,0
Config.CUST.in_5,605,0
Config.CUST.VAL5,625,0
Config.CUST.in_6,606,0
Config.CUST.VAL6,626,0
Config.CUST.in_7,607,0
Config.CUST.VAL7,627,0
Config.CUST.in_8,608,0
Config.CUST.VAL8,628,0
Config.CAL.rcAL,533,0
Config.CAL.PV,534,0
Config.CAL.1A.cALH,12692,0
Config.CAL.2A.cALH,12756,0
Config.CAL.3A.cALH,12820,0
Config.CAL.1A.cALL,12693,0
Config.CAL.2A.cALL,12757,0
Config.CAL.3A.cALL,12821,0
Config.CAL.UCAL,566,0
Config.CAL.Pt1L,563,0
Config.CAL.Pt1H,562,0
Config.CAL.OF1L,561,0
Config.CAL.OF1H,560,0
Config.CAL.Pt2L,571,0
Config.CAL.Pt2H,570,0
Config.CAL.OF2L,569,0
Config.CAL.OF2H,568,0
Config.PASS.ACCP,514,0
Config.PASS.cnFP,515,0
Operator.INFO.Err,39,0
Operator.ACCS.code,150,0
Operator.IDENT.V0,107,0
Operator.SYSTEM.F_SW,74,0
Operator.MAIN.PV,1,0
Operator.MAIN.tSP,2,0
Operator.MAIN.tOP,3,0
Operator.MAIN.W_SP,5,0
Operator.MAIN.R_IP,26,0
Operator.SP.SPrHb,41,0
Operator.MAIN.V_POS,53,0
Operator.INFO.I_OP,55,0
Operator.MAIN.VP_OP,60,0
Operator.RUN.SEG_M,63,0
Operator.SYSTEM.S_SW,75,0
Operator.SYSTEM.C_SW,76,0
Operator.SYSTEM.I_SW,77,0
Operator.SP.RmpDis,78,0
Operator.MAIN.O_OP,85,0
Operator.SYSTEM.Di_SW,87,0
Operator.INFO.BCD,96,0
Operator.INFO.d_OP,116,0
Operator.IDENT.CC,121,0
Operator.IDENT.II,122,0
Operator.RUN.AdvS,149,0
Operator.RUN.SkpS,154,0
Operator.RUN.LOG,162,0
Operator.SYSTEM.IM,199,0
Operator.INFO.P_OP,214,0
Operator.SYSTEM.CJCS,217,0
Operator.SYSTEM.CHLD,257,0
Operator.SYSTEM.Sbrk,258,0
Operator.SYSTEM.P_FL,259,0
Operator.AL.NWAL,260,0
Operator.SYSTEM.LPBr,263,0
Operator.SYSTEM.IHLD,264,0
Operator.AL.Ack,274,0
Operator.SP.SRLAct,275,0
Operator.SP.SRLSta,277,0
Operator.SP.Hbkdis,278,0
Operator.SYSTEM.Locb,279,0
Operator.SYSTEM.Rbrk,280,0
Operator.SYSTEM.Cont,281,0
Operator.MTR.PPos,317,0
Operator.SYSTEM.Pbrk,350,0
Operator.SYSTEM.IPMx,548,0
Operator.SYSTEM.IPMn,549,0
Operator.SYSTEM.DoSW,551,0
Operator.SYSTEM.Span,552,0
Config.AA.DigF,12486,0
Config.AA.PrgF,12503,0
Config.1A.DigF,12678,0
Config.1B.DigF,12679,0
Config.1C.DigF,12680,0
Config.1A.DCOP,12694,0
Config.1A.PrgF,12695,0
Config.1B.PrgF,12696,0
Config.1C.PrgF,12697,0
Config.2A.DigF,12742,0
Config.2B.DigF,12743,0
Config.2C.DigF,12744,0
Config.2A.DCOP,12758,0
Config.2A.PrgF,12759,0
Config.2B.PrgF,12760,0
Config.2C.PrgF,12761,0
Config.3A.DigF,12806,0
Config.3B.DigF,12807,0
Config.3C.DigF,12808,0
Config.3A.DCOP,12822,0
Config.3A.PrgF,12823,0
Config.3B.PrgF,12824,0
Config.3C.PrgF,12825,0
Config.4A.DigF,12870,0
Config.4A.PrgF,12887,0
Programmer.Program_01.Hb,8328,4
Programmer.Program_01.Hb_V,8329,4
Programmer.Program_01.rmPU,8330,4
Programmer.Program_01.dwLU,8331,4
Programmer.Program_01.CYCn,8332,4
Programmer.Program_01.Segment_01.tYPE,8336,0
Programmer.Program_01.Segment_01.tGt,8337,0
Programmer.Program_01.Segment_01.dur,8338,0
Programmer.Program_01.Segment_01.rAtE,8338,0
Programmer.Program_01.Segment_01.PrGn,8339,0
Programmer.Program_01.Segment_01.endt,8339,0
Programmer.Program_01.Segment_01.cYcn,8340,0
Programmer.Program_01.Segment_01.P_OP,8340,0
Programmer.Program_01.Segment_01.Hb,8341,0
Programmer.Program_01.Segment_02.tYPE,8344,0
Programmer.Program_01.Segment_02.tGt,8345,0
Programmer.Program_01.Segment_02.dur,8346,0
Programmer.Program_01.Segment_02.rAtE,8346,0
Programmer.Program_01.Segment_02.PrGn,8347,0
Programmer.Program_01.Segment_02.endt,8347,0
Programmer.Program_01.Segment_02.cYcn,8348,0
Programmer.Program_01.Segment_02.P_OP,8348,0
Programmer.Program_01.Segment_02.Hb,8349,0
Programmer.Program_01.Segment_03.tYPE,8352,0
Programmer.Program_01.Segment_03.tGt,8353,0
Programmer.Program_01.Segment_03.dur,8354,0
Programmer.Program_01.Segment_03.rAtE,8354,0
