Time [s],Voltage [V],Current [A],Power [W],Cycle
0,-4.95E-05,0,0,0
0.019928999841795303,-0.010974455,0.002500334,-2.74E-05,0
0.024905999802285805,-0.010363781,0.024990775,-0.000258999,0
0.029882999762776308,0.5000066161155701,0.2499525547027588,0.12497793106636834,0
0.03486,0.5002356171607971,0.3129628598690033,0.15655516935497893,0
0.9999989920615917,0.5002356171607971,0.3129628598690033,0.15655516935497893,0
1.9999979841231834,0.5003119707107544,0.3127342760562897,0.15646470196252338,0
2.999996976184775,0.5003119707107544,0.312810481,0.15650282800528004,0
3.999995968246367,0.5001593232154846,0.31303900480270386,0.1565693767821692,0
4.9999949603079585,0.5002356171607971,0.312810481,0.1564789438146228,0
5.999993952,0.5003883242607117,0.3129628598690033,0.1566029610056905,0
6.999992944431142,0.5002356171607971,0.3129628598690033,0.15655516935497893,0
7.999991936492734,0.5001593232154846,0.3129628598690033,0.15653129218366324,0
8.999990928554325,0.5001593232154846,0.3127342760562897,0.15641696385859838,0
9.999989920615917,0.5003883242607117,0.31303900480270386,0.15664106304146586,0
10.999988912677509,0.5001593232154846,0.31303900480270386,0.1565693767821692,0
11.9999879,0.5000066161155701,0.31288665533065796,0.15644539775960098,0
12.999986896800692,0.5003119707107544,0.3131152093410492,0.15665528744493074,0
13.999985888862284,0.5002356171607971,0.312810481,0.1564789438146228,0
14.999984880923876,0.5002356171607971,0.3129628598690033,0.15655516935497893,0
15.999983872985467,0.5000829696655273,0.312810481,0.1564311940782659,0
16.99998286504706,0.5000829696655273,0.3127342760562897,0.15639308548642816,0
17.99998185710865,0.5000066161155701,0.3129628598690033,0.15648350053295168,0
18.999980849170242,0.5003883242607117,0.31303900480270386,0.15664106304146586,0
19.999979841231834,0.5001593232154846,0.31303900480270386,0.1565693767821692,0
20.999978833293426,0.5001593232154846,0.31288665533065796,0.1564931777733385,0
21.999977825355018,0.5002356171607971,0.3127342760562897,0.15644082359035316,0
22.99997681741661,0.5001593232154846,0.3127342760562897,0.15641696385859838,0
23.99997581,0.5000066161155701,0.31288665533065796,0.15644539775960098,0
24.999974801539793,0.5002356171607971,0.31303900480270386,0.1565932597628823,0
25.999973793601384,0.5000829696655273,0.31288665533065796,0.15646928776646973,0
26.999972785662976,0.5002356171607971,0.3127342760562897,0.15644082359035316,0
27.999971777724568,0.5001593232154846,0.312810481,0.15645507826892313,0
28.99997076978616,0.5000829696655273,0.31303900480270386,0.15654547514287742,0
29.99996976184775,0.5000829696655273,0.312810481,0.1564311940782659,0
30.999968753909343,0.5002356171607971,0.3129628598690033,0.15655516935497893,0
31.999967745970935,0.5001593232154846,0.31288665533065796,0.1564931777733385,0
32.999966738032526,0.5002356171607971,0.3127342760562897,0.15644082359035316,0
33.99996573009412,0.5002356171607971,0.31303900480270386,0.1565932597628823,0
34.99996472215571,0.5003119707107544,0.31288665533065796,0.15654093913757805,0
35.99996371,0.5000829696655273,0.3127342760562897,0.15639308548642816,0
36.99996270627889,0.5002356171607971,0.3129628598690033,0.15655516935497893,0
37.999961698340485,0.5001593232154846,0.31288665533065796,0.1564931777733385,0
38.99996069040208,0.5001593232154846,0.31288665533065796,0.1564931777733385,0
39.99995968246367,0.5001593232154846,0.3127342760562897,0.15641696385859838,0
40.99995867452526,0.5000829696655273,0.31288665533065796,0.15646928776646973,0
41.99995766658685,0.5003119707107544,0.31288665533065796,0.15654093913757805,0
42.99995665864844,0.5002356171607971,0.312810481,0.1564789438146228,0
43.999955650710035,0.5002356171607971,0.3127342760562897,0.15644082359035316,0
44.99995464277163,0.5000066161155701,0.3127342760562897,0.15636920711425795,0
45.99995363483322,0.5000066161155701,0.31303900480270386,0.15652157350358564,0
46.99995262689481,0.5004646182060242,0.3129628598690033,0.15662683817700618,0
47.99995162,0.5002356171607971,0.3129628598690033,0.15655516935497893,0
48.999950611017994,0.5002356171607971,0.3127342760562897,0.15644082359035316,0
49.999949603079585,0.5001593232154846,0.31288665533065796,0.1564931777733385,0
50.99994859514118,0.5003883242607117,0.3129628598690033,0.1566029610056905,0
51.99994758720277,0.5002356171607971,0.3125819265842438,0.15636461295818016,0
52.99994657926436,0.5003119707107544,0.312810481,0.15650282800528004,0
53.99994557132595,0.5000829696655273,0.31288665533065796,0.15646928776646973,0
54.999944563387544,0.5003883242607117,0.312810481,0.15652671219593728,0
55.999943555449136,0.5000829696655273,0.3129628598690033,0.15650739635830746,0
56.99994254751073,0.5000066161155701,0.312810481,0.15640730988760865,0
57.99994153957232,0.5002356171607971,0.31288665533065796,0.1565170491307093,0
58.99994053163391,0.5000829696655273,0.3125819265842438,0.15631689811002047,0
59.99993952,0.5002356171607971,0.312810481,0.1564789438146228,0
60.999938515757094,0.5000829696655273,0.31288665533065796,0.15646928776646973,0
61.999937507818686,0.5003119707107544,0.3127342760562897,0.15646470196252338,0
62.99993649988028,0.5002356171607971,0.31288665533065796,0.1565170491307093,0
63.99993549194187,0.5000066161155701,0.3127342760562897,0.15636920711425795,0
64.99993448400346,0.5002356171607971,0.312810481,0.1564789438146228,0
65.99993347606505,0.5003119707107544,0.31303900480270386,0.15661716140217408,0
66.99993246812664,0.5001593232154846,0.312810481,0.15645507826892313,0
67.99993146018824,0.5001593232154846,0.3127342760562897,0.15641696385859838,0
68.99993045224983,0.5003883242607117,0.312810481,0.15652671219593728,0
69.99992944431142,0.5002356171607971,0.312810481,0.1564789438146228,0
70.99992843637301,0.5000829696655273,0.3129628598690033,0.15650739635830746,0
71.99992743,0.4999302923679352,0.312810481,0.1563834350194302,0
72.99992642,0.5000829696655273,0.312810481,0.1564311940782659,0
73.99992541255779,0.5002356171607971,0.3127342760562897,0.15644082359035316,0
